Title,Authors,Journal,Year of pubblication,path,thoughts,aim,category,dataset,ai_methodology,ai_method_list,pros_and_cons,results,arguments,conclusion,critical_summary,short_summary,file_path
DR-only Carbon-ion radiotherapy treatment planning via deep learning,Zhang et al,Physica Medica,2022,selected_articles/Zhang_DR_only_CIRT_TPS_DL_PhyMed_2022.pdf,"Okay, so I need to help with a literature review for an article about using AI in carbon ion therapy. The user has provided the full text of the article and specific questions to answer. Let me go through each question step by step based on what's written in the article.","The aim is to evaluate if it's possible to use just DR images with deep learning for treatment planning in carbon ion radiotherapy, using a phantom and head-and-neck patients.",Synthetic imaging,"They used an anthropomorphic phantom and two head-and-neck patients. For the phantom, they had CT and 210 DR images. They created DRR-CT pairs for training (1200 samples), validation (400), and testing (400). For the patients, they used CBCT and DR images with similar splits.","They used two deep neural networks: a cycle-GAN based DR-DRR network and a DRR-CT network. The DR-DRR network converts DR to synthetic DRR, then the DRR-CT network generates CT from DRR.","['Cycle-GAN', 'Residual blocks', 'Efficient channel attention (ECA)', '3D deconvolutional layers']","Strengths include using a single DR image for 3D reconstruction, which reduces radiation. It's adaptable to different patients. Weaknesses are limited dataset generalization and some dosimetric results exceeding clinical standards.","The metrics showed good performance: MAE of 0.007, RMSE 0.144, PSNR 37.5, SSIM 0.973. Dose differences were under 2% for the phantom and ≤4% for patients. Gamma pass rates over 98%. The metrics seem appropriate as they cover image quality and dose accuracy.",Strong points are feasibility of DR-only planning and reduced patient radiation. Weaknesses include limited data generalization and some dosimetric issues.,"The workflow is feasible for adaptive radiotherapy without CT rescans, supporting efficient treatment with acceptable accuracy.","The study evaluates using deep learning to generate CT from DR images for carbon ion therapy. It uses a phantom and patients, showing good image quality and dose accuracy. While promising, it has limitations in dataset diversity and some dosimetric results. The conclusion supports its feasibility for adaptive therapy without extra CT scans.","The study demonstrates the feasibility of using deep learning to generate CT images from DR images for carbon ion radiotherapy treatment planning, showing good performance metrics and acceptable dose accuracy, though with limitations in dataset diversity.",../database/selected_articles/Zhang_DR_only_CIRT_TPS_DL_PhyMed_2022.pdf
Synthetic CT in Carbon Ion Radiotherapy of the Abdominal Site,Parrella et al,Bioengineering,2023,selected_articles/Parrella_SyntCT_CIRT_Abdomen_Bioeng_2023.pdf,"Okay, so I need to help this user by providing a literature review based on the provided article. The topic is 'Applications of AI in Carbon Ion Therapy.' Let me start by understanding what each part of the query requires. There are eight questions that need to be answered accurately using only the information from the article. Then, I have to generate a critical summary and a short summary. Hmm, let's break it down step by step.",The aim is to evaluate the feasibility of generating synthetic CT (sCT) volumes for carbon ion radiotherapy (CIRT) in abdominal sites using a conditional GAN (cGAN). The study focuses on creating sCT from MRI scans to avoid additional radiation exposure and improve treatment planning accuracy.,Synthetic imaging,"The dataset consists of 39 CT-MRI volume pairs from 24 patients. Training, validation, and testing strategies involved a six-fold cross-validation with 32 volumes for training and five held-out volumes for testing. Data augmentation increased the initial slice pairs from 2014 to 16,112.",The AI methodology used is a three-channel conditional GAN (cGAN) based on the Pix2Pix architecture. The network includes a U-net generator and a PatchGAN discriminator. The loss function combines L1 norm and cGAN adversarial cross-entropy loss.,"['Conditional GAN (cGAN)', 'U-net', 'PatchGAN']","Strengths include the ability to generate sCT with acceptable accuracy, especially for soft tissues and bones. The use of three channels improves anatomical representation. Weaknesses involve challenges in accurately representing air pockets due to inter-acquisition motion and limited dataset size.","The cGAN achieved MAE values of 55.39 HU (soft tissues), 86.03 HU (bones), and 54.42 HU (air) on the test set. DVH metrics showed good reproducibility, with a gamma pass rate of 94.88%. However, some OARs had higher relative errors due to air-filling mismatches.",Strong arguments include the feasibility and accuracy of sCT for CIRT planning. Weak points are the limitations in representing air cavities and the need for larger datasets and better ground truth validation.,"The study concludes that a three-channel cGAN can generate acceptable abdominal sCTs, enabling accurate dose recalculations for CIRT. The approach supports MRI-only workflows but requires further improvements in dataset size and anatomical representation accuracy.","This study evaluates the use of AI, specifically a conditional GAN (cGAN), to generate synthetic CT (sCT) volumes from MRI scans for carbon ion radiotherapy (CIRT) in abdominal sites. The primary aim is to avoid additional radiation exposure and improve treatment planning accuracy. The dataset comprises 39 CT-MRI volume pairs from 24 patients, with a six-fold cross-validation strategy involving 32 training volumes and five test volumes. Data augmentation expanded the initial slice pairs from 2014 to 16,112. The AI methodology uses a three-channel cGAN based on the Pix2Pix architecture, combining L1 norm and adversarial losses for improved image quality. Results show acceptable accuracy in sCT generation, with MAE values of 55.39 HU (soft tissues), 86.03 HU (bones), and 54.42 HU (air). DVH metrics demonstrate good reproducibility, achieving a gamma pass rate of 94.88%. However, challenges remain in accurately representing air pockets due to inter-acquisition motion and limited dataset size. The study highlights the feasibility of using AI for sCT generation in CIRT but identifies areas for improvement, such as larger datasets and better validation methods.","The study evaluates a cGAN for generating synthetic CTs from MRI scans in carbon ion therapy. It demonstrates acceptable accuracy with MAE values under 100 HU across tissues, supporting feasible dose recalculations despite challenges in air cavity representation and dataset limitations.",../database/selected_articles/Parrella_SyntCT_CIRT_Abdomen_Bioeng_2023.pdf
Possibilities and challenges when using synthetic computed tomography in an adaptive carbon-ion treatment workflow,Knausl et al,Zeitschrift für Medizinische Physik,2023,selected_articles/Knausl_synthetic_CT_in_adapative_CIRT.pdf,"Okay, so I need to help this user by providing a literature review of an article they've given. The topic is the applications of AI in carbon ion therapy. Let me start by understanding what each part of their query requires. They want me to answer eight specific questions about the article and then generate two summaries: a critical one that integrates all answers and a short, concise version of it. Plus, I need to make sure my answers are based solely on the provided article without any external knowledge or speculation. Alright, let's break this down step by step. First, I'll read through the entire article carefully, focusing on sections like the introduction, methods, results, discussion, and conclusion. This will help me gather all necessary information to answer each question accurately. The questions are about the study's aim, categorization, dataset details, AI methodology, strengths and weaknesses of the approach, performance metrics, arguments in the discussion, and the conclusion with supporting arguments. I need to ensure that my answers are precise and directly pulled from the article without adding any personal opinions or external information. Once all questions are addressed, I'll compile a critical summary that ties everything together, highlighting key points from each answer. Finally, I'll create a short summary that's concise but still captures the essence of the critical review. Throughout this process, it's crucial to maintain an objective and academic tone as per the user's instructions. Let me start by tackling each question one by one, making sure I extract all necessary details accurately from the article.","The aim is to explore using synthetic CT (sCT) in carbon-ion therapy for better workflow efficiency without extra imaging dose, despite challenges like patient positioning and limited data.",Synthetic imaging,15 CT scans of 11 head/neck patients. Model trained on proton therapy patients with same scanner. No explicit validation/test strategy mentioned beyond spot displacement analysis.,"3D U-Net with ResNet blocks for sCT generation from MRI. Evaluated using MAE, spot displacement, and DVH metrics.","['3D U-Net', 'ResNet blocks']","Strengths: Reduces metal artifacts, uses clinical MR sequences. Weaknesses: Inaccuracies in bone/air cavities, mask influence on spot displacement, limited training data.",Spot displacements up to 10.5 cm (95.7% within 1 cm). Dose differences varied; OARs saw up to 28.1% change. MAE of 86.9 ± 20.2 HU.,"Strong: sCT reduces metal artifacts and registration errors. Weak: High uncertainty in bone/air cavities, mask issues.",sCT has potential but not ready for MR-only workflow due to challenges like mask influence and anatomical variations.,"The study investigates the use of synthetic CT (sCT) derived from MRI in carbon-ion therapy. The primary aim is to assess whether sCT can replace traditional X-ray CT without compromising treatment accuracy, despite unique challenges such as patient positioning and limited training data. The methodology employs a 3D U-Net model trained on proton therapy patients using the same MRI scanner. Key findings include spot displacements up to 10.5 cm (95.7% within 1 cm) and significant dose differences in organs at risk, with one patient showing a 28.1% change in chiasm dose. Strengths of the approach include reduced metal artifacts and use of clinical MR sequences, while weaknesses involve inaccuracies in bone and air cavity representation and the influence of thermoplastic masks not visible on MRI. The authors conclude that sCT shows promise but is not yet suitable for an MR-only workflow in carbon-ion therapy due to unresolved challenges.","The study evaluates synthetic CT (sCT) use in carbon-ion therapy, finding potential benefits like reduced metal artifacts but highlighting challenges such as anatomical inaccuracies and mask influence. The authors conclude sCT isn't ready for clinical routine without further improvements.",../database/selected_articles/Knausl_synthetic_CT_in_adapative_CIRT.pdf
Unsupervised Deep Learning for Synthetic CT Generation from CBCT Images for Proton and Carbon Ion Therapy for Paediatric Patients,Pepa et al,Sensors,2024,selected_articles/Pepa_syntheticCT from CBCT.pdf,"Okay, so the user provided a detailed article about using CycleGAN to generate synthetic CT scans from CBCT images for adaptive particle therapy. They want me to summarize this in the context of applications of AI in carbon ion therapy. Hmm, let's break this down. The study focuses on improving image quality for treatment adaptation, which is crucial because carbon ions are sensitive to anatomical changes. I need to highlight how AI, specifically CycleGAN, helps here. Also, the target audience might be professionals in radiation oncology or medical physics, so I should keep it technical but clear. They mentioned limitations like small sample size and lack of ground truth, which are important points to include. The conclusion suggests future directions, so maybe touch on that briefly. Overall, the summary should emphasize the potential impact of this AI application in enhancing treatment accuracy and efficiency.","To provide a concise summary of the article's key findings and implications regarding the use of AI in carbon ion therapy, focusing on how CycleGAN improves synthetic CT generation for adaptive particle therapy.",Synthetic imaging,Paediatric and young adult patients with pelvic malignancies treated with proton or carbon ion therapy.,CycleGAN (Generative Adversarial Network),['CycleGAN'],"Pros: Improved image quality, potential for reducing radiation exposure. Cons: Small sample size, lack of ground truth for voxel-wise evaluation.","The CycleGAN-based approach successfully generated synthetic CT scans from CBCT images, showing improved structural similarity and peak signal-to-noise ratio compared to raw CBCT images. U-Net architecture outperformed Res-Net in this context.","The study demonstrates the potential of AI in enhancing image quality for adaptive therapy, which is crucial for accurate dose calculation and treatment adaptation in carbon ion therapy.","AI techniques like CycleGAN show promise in improving synthetic CT generation from CBCT images, aiding in more precise and efficient adaptive particle therapy treatments.","The article presents a novel application of AI in medical imaging for particle therapy. By using CycleGAN to convert low-quality CBCT scans into high-quality synthetic CT images, the study addresses a critical need for accurate anatomical data during treatment adaptation. The results indicate significant improvements in image quality metrics, suggesting potential benefits for treatment planning and delivery. However, limitations such as small sample size and lack of a gold standard highlight areas needing further research.","The article explores the use of CycleGAN to generate synthetic CT scans from CBCT images for adaptive particle therapy, demonstrating improved image quality and potential clinical benefits in reducing radiation exposure and enhancing treatment accuracy.",../database/selected_articles/Pepa_syntheticCT from CBCT.pdf
Deep-learning synthetized 4DCT from 4DMRI of the abdominal site in carbon-ion radiotherapy,Nakas et al,Physica Medica,2025,selected_articles/AnestisNakas_DL_SyntCT_4DCT_MRI_Abdomen_CIRT_PhMed_2025.pdf,"Okay, so I need to help this user by providing a literature review of the given article for their specified topic, which is Applications of AI in Carbon Ion Therapy. The user has provided detailed instructions on how to structure the response, including answering specific questions and generating summaries. Let me break down what needs to be done step by step to ensure I cover everything accurately and comprehensively.",The aim of this study is to investigate the feasibility of using deep learning to generate synthetic 4DCT from 4DMRI data for patients undergoing Carbon Ion Radiotherapy (CIRT). The goal is to support treatment planning without additional radiation exposure by leveraging MRI's soft tissue contrast and dynamic capabilities.,Synthetic imaging,"The study used datasets from 26 abdominal cancer patients treated with CIRT. They included paired T1-weighted 4DMRI and 4DCT volumes. The network was trained on 20 patients, validated using a computational phantom, and tested on 6 independent held-out patients.",The authors employed a 3-channel conditional Generative Adversarial Network (cGAN) with a U-net architecture for generating synthetic 4DCT from 4DMRI. They explored data augmentation techniques to enhance model generalization.,"['Conditional Generative Adversarial Network (cGAN)', 'U-net', 'Data Augmentation']","Strengths include the use of a 3-channel approach for better anatomical representation, validation with a computational phantom, and evaluation across multiple metrics. Weaknesses are limited patient data, reliance on manual segmentation for MRI-only scenarios, and potential inaccuracies in air cavities leading to dose discrepancies.","The network achieved MAE values of around 50 HU in the 4DCT-based scenario and higher (81-90 HU) in the 4DMRI-only case. Gamma pass rates were ~97% for the 4DCT-based approach, showing dosimetric consistency. DVH metrics on GTV/CTV were within clinical tolerances.",Strong arguments include the feasibility of synthetic imaging to reduce radiation exposure and improve treatment planning accuracy. Weak points are the challenges in maintaining accurate air cavities and inter-acquisition motion discrepancies affecting OAR dose calculations.,"The study concludes that deep learning-based 4D-sCT generation is promising for CIRT, supporting treatment planning with potential benefits over traditional methods. The authors argue for further testing on diverse patient datasets and simplifying the network to a single-channel approach.","This study explores the application of AI in Carbon Ion Therapy by developing a deep learning model to generate synthetic 4DCT from 4DMRI data. The primary aim is to enhance treatment planning without additional radiation exposure. The methodology involves a 3-channel cGAN trained on paired MRI and CT datasets, validated using a computational phantom, and tested on six patients. While the results demonstrate promising accuracy in dose calculations and anatomical representation, challenges remain in handling air cavities and inter-acquisition motion discrepancies. The study highlights the potential of AI in improving treatment planning but acknowledges the need for further validation with larger datasets and simplified models.","The study investigates using deep learning to generate synthetic 4DCT from 4DMRI for Carbon Ion Therapy, showing promise in reducing radiation exposure while maintaining dosimetric accuracy. Challenges include air cavity inaccuracies and motion discrepancies, necessitating further testing on diverse datasets.",../database/selected_articles/AnestisNakas_DL_SyntCT_4DCT_MRI_Abdomen_CIRT_PhMed_2025.pdf
Imaging-Based Individualized Response Prediction Of Carbon Ion Radiotherapy For Prostate Cancer Patients,Wu et al,Cancer Management and Research,2019,selected_articles/Wu_Imaging_ResponsePrediction_CIRT_Prostate_cmar_2019.pdf,"Okay, so I need to help with a literature review for an article about using AI in carbon ion therapy. The user has provided the full text of the article and specific questions to answer. Let me go through each question step by step based on what's written in the article.",The aim is to explore how pre-treatment MRI radiomic features can predict individual responses to CIRT for prostate cancer patients.,Tumor control probability (TCP) prediction,"23 patients with localized prostate cancer treated by CIRT. They used T2-weighted images and ADC maps. The training, validation, and test strategy involved nested leave-one-out cross-validation. The sample counts are 23 total, but specifics on how they split into train, validate, and test aren't detailed.",Support Vector Machine (SVM) was used for classification. They also applied feature selection using L2-penalized logistic regression to identify important features.,"['Support Vector Machine (SVM)', 'L2-penalized logistic regression']","Strengths include the use of robust radiomic features and nested cross-validation reducing overfitting. Weaknesses are small sample size, short follow-up limiting long-term outcome evaluation, and single institutional data.","SVM achieved AUC of 0.88 using combined ADC and T2w features. Metrics included accuracy, sensitivity, specificity, and AUC. The choice of metrics is appropriate for evaluating classification performance.","Strong arguments: radiomic features are non-invasive, cost-effective, and show high predictive performance. Weak arguments: small sample size, short follow-up, and need for multi-institutional validation.",Radiomic features from T2w and ADC images can predict CIRT response accurately. Further validation is needed before clinical application.,"The study aims to use radiomic features from MRI scans to predict individual responses to carbon ion radiotherapy (CIRT) in prostate cancer patients. It falls under tumor control probability prediction. The dataset includes 23 patients with nested cross-validation. SVM and logistic regression were used, showing strengths like robust feature selection but weaknesses such as small sample size. Results show high AUC, supporting the model's effectiveness.","The study uses radiomic features from MRI to predict CIRT response in prostate cancer, achieving high accuracy with SVM despite limitations like a small sample size.",../database/selected_articles/Wu_Imaging_ResponsePrediction_CIRT_Prostate_cmar_2019.pdf
A Comparison Study of Machine Learning (Random Survival Forest) and Classic Statistic (Cox Proportional Hazards) for Predicting Progression in High-Grade Glioma after Proton and Carbon Ion Radiotherapy,Qiu et al,Frontiers in oncology,2020,selected_articles/Qiu_Comparative_ML_Cox_Progression_HGGlioma_PT_CIRT_fonc_2020.pdf,"Okay, so I need to help this user by providing a literature review of the given article. The topic is applications of AI in carbon ion therapy. Let me start by understanding what each part of the query requires. They've provided an ARTICLE and specific QUESTIONS that need to be answered based on it. Then, they want a CRITICAL_SUMMARY and a SHORT_SUMMARY. I should make sure to follow their instructions precisely without adding any extra information or speculation if something isn't in the article. Let me go through each question one by one, using only the information from the provided ARTICLE. If I'm unsure about anything, I'll note that it's not specified in the article. Alright, let's get started.",The aim of this study is to compare the performance of Random Survival Forest (RSF) and Cox Proportional Hazards (CPH) models in predicting progression-free survival (PFS) for high-grade glioma (HGG) patients treated with particle beam radiotherapy (PBRT). The goal is to determine which method is more effective for clinical deployment.,Tumor control probability (TCP) prediction,"The dataset consists of 82 HGG patients treated at Shanghai Proton and Heavy Ion Center between June 2015 and November 2019. The data was split into a training set (65 patients, 79.3%) and a testing set (17 patients, 20.7%). Ten variables were used, including patient-related, tumor-related, and treatment-related features.",The study employed two AI methodologies: Random Survival Forest (RSF) and Cox Proportional Hazards (CPH). The RSF model was implemented using the RandomForestSRC package with hyperparameters set to mtry=3 and 100 trees. The CPH model was developed using standard statistical methods.,"['Random Survival Forest', 'Cox Proportional Hazards']","Strengths of the methodology include the use of a comprehensive dataset with multiple variables, evaluation of both discrimination and calibration metrics (C-index and Brier score), and the development of a nomogram for individualized prediction. Weaknesses include the relatively small sample size, which may limit generalizability, and the lack of external validation or prospective testing.","The CPH model outperformed RSF in terms of integrated C-index (62.9% vs. 61.1%) and Brier score (0.159 vs. 0.174). The CPH model identified several significant prognostic factors, including age, IDH gene status, MGMT promoter status, and surgical completeness. RSF only highlighted age and IDH as important variables.","Strong arguments include the superior performance of CPH in discrimination and calibration metrics, its ability to identify multiple significant prognostic factors, and the practicality of the nomogram for clinical use. Weak arguments are the small sample size limiting the robustness of RSF results and the lack of external validation.","The study concludes that CPH is more effective than RSF for predicting PFS in HGG patients treated with PBRT, based on better discrimination, calibration, and interpretability. The authors recommend using comprehensive evaluation criteria when deploying AI models clinically.","This study compares Random Survival Forest (RSF) and Cox Proportional Hazards (CPH) models for predicting progression in high-grade glioma patients treated with particle beam radiotherapy. The dataset includes 82 patients, split into training and testing sets. CPH outperformed RSF in terms of concordance index (62.9% vs. 61.1%) and Brier score (0.159 vs. 0.174). CPH identified multiple significant prognostic factors, while RSF only highlighted age and IDH status. The study's strengths include comprehensive evaluation metrics and the development of a nomogram for individualized prediction. Limitations include the small sample size and lack of external validation. The conclusion supports CPH as a superior method for clinical deployment in this context.","The study compares RSF and CPH models for predicting progression in HGG patients treated with PBRT. CPH outperformed RSF, identifying more significant prognostic factors and showing better accuracy and calibration. The nomogram developed from the CPH model aids clinical decision-making, though the small sample size is a limitation.",../database/selected_articles/Qiu_Comparative_ML_Cox_Progression_HGGlioma_PT_CIRT_fonc_2020.pdf
Radiomics and Dosiomics for Predicting Local Control after Carbon-Ion Radiotherapy in Skull-Base Chordoma,Buizza et al,Cancers,2020,selected_articles/Buizza_Radiomics_Dosiomics_LC_SBC_CIRT_Cancers_2020.pdf,"Okay, so I need to help this user by providing a literature review based on the given article. The topic is applications of AI in carbon ion therapy. Let me start by understanding what each part of the query requires. There are several questions that need to be answered accurately using only the information from the provided article. Then, after answering these questions, I have to generate a critical summary and a short summary. Alright, let's break this down step by step.","The aim of this study is to explore the role of multi-parametric radiomic, dosiomic, and clinical features as prognostic factors for local control (LC) in patients with skull-base chordoma (SBC) treated with carbon-ion radiotherapy (CIRT). The researchers aimed to develop predictive models using these features to better understand treatment outcomes.",Tumor control probability (TCP) prediction,"The dataset included 57 SBC patients treated with CIRT. Data was split into a development set (80%, n=45) and a hold-out test set (20%, n=12). Features were extracted from MRI, CT, dose maps, and clinical data.",The study used two survival models: linear survival support vector machines (s-SVM) and Cox proportional hazards model regularized with an elastic net penalty (r-Cox). Various feature selection routines were applied to mitigate the imbalance between features and sample size.,"['linear survival support vector machines (s-SVM)', 'Cox proportional hazards model (r-Cox)']","Strengths include the integration of multi-modal data (MRI, CT, dose maps, clinical) and the use of advanced feature selection methods. Weaknesses are the small sample size, which limits generalizability, and potential overfitting due to limited test data.",Dosiomic models performed best with validation C-indices of 0.80/0.24 (s-SVM) and 0.79/0.26 (r-Cox). Combined multi-parametric models showed slightly lower but still good performance. The study found that higher dose heterogeneity was associated with worse outcomes.,"Strong arguments include the promising results of dosiomic features in predicting LC and the potential for multi-modal approaches to improve risk stratification. Weak points are the small sample size, which may affect model reliability, and the need for external validation.","The study concludes that radiomic and dosiomic analyses show promise in predicting local control after CIRT in SBC patients. However, further validation with larger datasets is needed before clinical application.","This study explores AI applications in carbon ion therapy by developing predictive models for local control in skull-base chordoma patients. Using multi-modal data including radiomics, dosiomics, and clinical features, the research highlights the potential of dose heterogeneity as a prognostic factor. While the methodology is robust with feature selection and survival analysis, limitations such as small sample size and need for external validation are noted. The conclusion supports further investigation into AI-driven predictive models in CIRT.","The study investigates AI applications in carbon ion therapy by developing predictive models using radiomic, dosiomic, and clinical data to predict local control in skull-base chordoma patients. While promising results were found, particularly with dosiomic features, the small sample size and need for external validation highlight areas for further research.",../database/selected_articles/Buizza_Radiomics_Dosiomics_LC_SBC_CIRT_Cancers_2020.pdf
A Dosiomics Analysis Based on Linear Energy Transfer and Biological Dose Maps to Predict Local Recurrence in Sacral Chordomas after Carbon-Ion Radiotherapy,Morelli et al,Cancers,2023,selected_articles/Morelli_Dosiomics_LET_Dose_LR_SacralChordoma_CIRT_cancers_2023.pdf,"Okay, so I need to help with a literature review for an article about applying AI in carbon ion therapy. Let me start by understanding the task. The user provided an ARTICLE and specific QUESTIONS they want answered based on that article. Then, after answering those questions, I have to generate a CRITICAL_SUMMARY and a SHORT_SUMMARY. The goal is to perform an accurate literature review focusing on the APPLICATIONS OF AI IN CARBON ION THERAPY as specified by the REVIEW_TOPIC. Alright, let's break this down step by step.","The aim of this study is to apply dosiomics analysis using biological dose maps and LET d (dose-averaged Linear Energy Transfer) to predict local recurrence in sacral chordomas after carbon-ion radiotherapy. The authors used AI models, specifically regularized Cox proportional hazards models and survival support vector machines, to analyze features extracted from these maps and conventional DVH metrics.",Tumor control probability (TCP) prediction,"The study included 50 patients with sacral chordomas treated with CIRT. The dataset was used to extract dosiomics features from D LEM, D MKM, and LET d maps. Feature selection methods like Mann-Whitney U test and LASSO were applied. The models were evaluated using a stratified 5-fold cross-validation repeated 10 times.","The AI methodologies used include regularized Cox proportional hazards (r-Cox) and survival support vector machines (s-SVM). Feature extraction involved dosiomics features from biological dose maps, including shape, first-order, and texture features. The models were trained on these features to predict local recurrence and high-dose local recurrence.","['Regularized Cox proportional hazards model', 'Survival support vector machine']","Strengths: The study integrates dosiomics with AI for predicting treatment outcomes, which is novel. It uses multiple feature selection methods (MW and LASSO) to enhance robustness. The use of both r-Cox and s-SVM provides a comprehensive evaluation. Weaknesses: The dataset size is relatively small (50 patients), limiting generalizability. Follow-up times vary, potentially affecting results. The reliance on a single institution's data may introduce bias.","The models achieved C-indices ranging from 0.71 to 0.86 for predicting local recurrence and high-dose local recurrence. LET d-based models showed the highest performance with a median C-index of 0.86. Kaplan-Meier curves demonstrated significant separation between risk groups, especially for HD-LR prediction.","Strong arguments: Dosiomics features outperformed conventional DVH metrics, highlighting their potential in treatment optimization. LET d maps were particularly effective in predicting HD-LR. Weak arguments: The small sample size and lack of external validation limit the study's applicability. The impact of different RBE models on results wasn't thoroughly explored.","The authors conclude that dosiomics analysis, especially using LET d maps, holds promise for predicting local recurrence in CIRT-treated sacral chordomas. They suggest further studies with larger datasets and longer follow-ups to validate these findings and explore their clinical implications.","This study explores the application of AI in carbon ion therapy by integrating dosiomics features from biological dose maps into predictive models for local recurrence in sacral chordomas. Using r-Cox and s-SVM, the authors analyzed features extracted from D LEM, D MKM, and LET d maps. The results showed that LET d-based models achieved the highest performance with a median C-index of 0.86 for predicting high-dose local recurrence. While the study demonstrates the potential of dosiomics in treatment outcome prediction, its limitations include a relatively small dataset and varying follow-up times. The authors emphasize the need for further research to validate these findings and explore their clinical applications.","The study applies AI models (r-Cox, s-SVM) using dosiomics features from biological dose maps to predict local recurrence in sacral chordomas treated with CIRT. LET d-based models showed high performance (C-index 0.86), but the small dataset and varying follow-up times limit generalizability. Further studies are recommended.",../database/selected_articles/Morelli_Dosiomics_LET_Dose_LR_SacralChordoma_CIRT_cancers_2023.pdf
A dosiomics approach to treatment outcome modeling in carbon ion radiotherapy for skull base chordomas,Parrella et al,Physica Medica,2024,selected_articles/Parrella_Dosiomics_CIRT_SBC_PhyMed_2024.pdf,"Okay, so I need to help this user by providing a literature review of the given article for their specified topic, which is 'Applications of AI in Carbon Ion Therapy.' The user has provided an ARTICLE and a set of QUESTIONS that I should answer based on the content of the article. Then, I have to generate a CRITICAL_SUMMARY and a SHORT_SUMMARY. Let me break this down step by step to make sure I cover everything accurately and thoroughly.","The aim is to investigate the role of dosiomics features from physical dose (D PHYS), RBE-weighted dose (D RBE), and dose-averaged Linear Energy Transfer (LETd) in predicting local recurrence (LR) in skull base chordomas treated with Carbon Ion Radiotherapy (CIRT). The study also evaluates dosiomics-driven tumor control probability (TCP) models.",Tumor control probability (TCP) prediction,"54 SBC patients were included. Data was split into training (80%, n=43) and test sets (20%, n=11). Features extracted from D PHYS, D RBE, and LETd maps.","Regularized Cox proportional hazard model (r-Cox), Survival Support Vector Machine (s-SVM), multivariable logistic regression for TCP models. Feature selection using LASSO and correlation filtering.","['Regularized Cox proportional hazard model', 'Survival Support Vector Machine', 'Multivariable logistic regression']","Strengths: Integration of dosiomics with AI models, comprehensive feature extraction, comparison with clinical models. Weaknesses: Small sample size limiting generalizability, potential overfitting despite cross-validation.",LETd-based models showed best performance (C-index 0.75-0.786). TCP model using LETd features had higher f-score and accuracy than clinical models.,"Strong: Dosiomics provides valuable prognostic info, improved model performance over clinical parameters. Weak: Small dataset, need for larger studies to validate findings.","LETd is a significant source of prognostic factors for LR in SBC treated with CIRT. Dosiomics-driven TCP models outperform clinical models, supporting their use in treatment personalization.","The study investigates the application of AI in Carbon Ion Therapy by developing dosiomics-based predictive models for local recurrence in skull base chordomas. Using a dataset of 54 patients, the authors extracted features from physical dose (D PHYS), RBE-weighted dose (D RBE), and LETd maps. They employed regularized Cox proportional hazard models, survival SVMs, and logistic regression to build time-to-event and TCP models. The results showed that LETd-based models performed best, with a C-index of 0.75-0.786 and significant separation in Kaplan-Meier curves. The dosiomics-driven TCP model achieved higher f-score (0.75) and accuracy (0.82) compared to clinical models. While the study highlights the potential of AI in personalizing CIRT, limitations include a small sample size and the need for validation on larger cohorts.","The study explores AI applications in Carbon Ion Therapy by developing dosiomics-based predictive models for local recurrence in skull base chordomas. Using features from D PHYS, D RBE, and LETd maps, the authors employed various AI methods to build time-to-event and TCP models. Results showed superior performance of LETd-based models, with higher C-index and better separation in Kaplan-Meier curves compared to clinical parameters. The study supports the use of dosiomics-driven models for personalized treatment planning but acknowledges limitations due to a small dataset.",../database/selected_articles/Parrella_Dosiomics_CIRT_SBC_PhyMed_2024.pdf
