key,title,abstract,decision,reason,thoughts
rayyan-97865221,"Responsive Magnetic Particle Imaging Tracer: Overcoming ""Always-On"" Limitation, Eliminating Interference, and Ensuring Safety in Adaptive Therapy","Magnetic particle imaging (MPI) has emerged as a novel technology utilizing superparamagnetic nanoparticles as tracers, essential for disease diagnosis and treatment guidance in preclinical animal models. Unlike other modalities, MPI provides high sensitivity, deep tissue penetration, and no signal attenuation. However, existing MPI tracers suffer from ""always-on"" signals, which complicate organ-specific imaging and hinder accuracy. To overcome these challenges, we have developed a responsive MPI tracer using pH-responsive PdFe alloy particles coated with a gatekeeper polymer. This tracer exhibits pH-sensitive Fe release and modulation of the MPI signal, enabling selective imaging with a higher signal-to-noise ratio and intratumoral pH quantification. Notably, this responsive tracer facilitates subtraction-enhanced MPI imaging, effectively eliminating interference from liver uptake and expanding the scope of abdominal imaging. Additionally, the tracer employs a dual-function mechanism for adaptive cancer therapy, combining pH-switchable enzyme-like catalysis with dual-key co-activation of ROS generation, and Pd skeleton that scavenges free radicals to minimize Fe-related toxicity. This advancement promises to significantly expand MPI's applicability in diagnostics and therapeutic monitoring, marking a leap forward in imaging technology.        This responsive MPI tracer for subtraction-enhanced MPI imaging, accurate molecular imaging, and environment-adaptive therapy, offers the potential to maximize therapeutic outcomes and minimize side effects. This technique effectively eliminates interference signals originating from non-specific liver uptake. image",0,"The article discusses advancements in magnetic particle imaging tracers for improved diagnostics and therapeutic monitoring, but it does not mention AI methods or carbon ion therapy.","Okay, so I need to figure out if this article is about applying AI methods in carbon ion therapy based on its abstract. Let me read through the abstract carefully. The title mentions Magnetic Particle Imaging (MPI) tracer and talks about overcoming limitations like "
rayyan-97865222,"The role of apoptosis, immunogenic cell death, and macrophage polarization in carbon ion radiotherapy for keloids: Targeting the TGF-β1/ SMADs signaling pathway","Keloids, characterized by excessive extracellular matrix (ECM) deposition and aberrant fibrous tissue proliferation, present significant therapeutic challenges due to their recalcitrant and recurrent nature. This study explores the efficacy of Carbon Ion Radiotherapy (CIRT) as a novel therapeutic approach for keloids, focusing on its impact on fibroblast proliferation, apoptosis induction, immunogenic cell death (ICD), macrophage polarization, and the TGF-beta/SMAD signaling pathway. Utilizing a murine model of keloid formed by subcutaneous injection of zeocin in C57BL/6 mice, we demonstrated that CIRT effectively reduces collagenous fiber synthesis and collagen production in keloid tissues. Further, CIRT was shown to inhibit keloid fibroblast proliferation and to induce apoptosis, as evidenced by increased expression of apoptosis-related proteins and confirmed through flow cytometry and TUNEL assay. Notably, CIRT induced mitochondrial stress, leading to enhanced immunogenicity of cell death, characterized by increased expression of ICD markers and secretion of interferon-y. Additionally, CIRT promoted a shift from M2 to M1 macrophage polarization, potentially reducing TGF-beta release and mitigating ECM deposition. Our findings suggest that CIRT mediates its therapeutic effects through the inhibition of the TGF-beta/SMAD signaling pathway, thereby attenuating ECM formation and offering a promising avenue for keloid treatment. This study underscores the potential of CIRT as an innovative strategy for managing keloids, highlighting its multifaceted impact on key cellular processes involved in keloid pathogenesis.",0,The abstract focuses on biological mechanisms and therapeutic effects of Carbon Ion Radiotherapy (CIRT) without mentioning any AI methods or applications.,"Okay, so I need to figure out if this article is about applying AI methods in carbon ion therapy. Let me read through the abstract carefully. The title mentions apoptosis, immunogenic cell death, macrophage polarization, and the TGF-beta/SMAD signaling pathway in relation to carbon ion radiotherapy for keloids. The content talks about how CIRT affects fibroblast proliferation, induces apoptosis, ICD, macrophage polarization, and targets a specific signaling pathway. They used a mouse model to demonstrate these effects. Nowhere in the abstract do they mention anything about AI methods or any computational techniques. It's all about biological processes and therapeutic effects of carbon ion therapy. So, it doesn't seem like AI is involved here at all. The focus is on the medical aspects and cellular responses rather than any application of artificial intelligence."
rayyan-97865224,"Particle tracking, recognition and LET evaluation of out-of-field proton therapy delivered to a phantom with implants","Objective. This study aims to assess the composition of scattered particles generated in proton therapy for tumors situated proximal to some titanium (Ti) dental implants. The investigation involves decomposing the mixed field and recording Linear Energy Transfer (LET) spectra to quantify the influence of metallic dental inserts located behind the tumor. Approach. A therapeutic conformal proton beam was used to deliver the treatment plan to an anthropomorphic head phantom with two types of implants inserted in the target volume (made of Ti and plastic, respectively). The scattered radiation resulted during the irradiation was detected by a hybrid semiconductor pixel detector MiniPIX Timepix3 that was placed distal to the Spread-out Bragg peak. Visualization and field decomposition of stray radiation were generated using algorithms trained in particle recognition based on artificial intelligence neural networks (AI NN). Spectral sensitive aspects of the scattered radiation were collected using two angular positions of the detector relative to the beam direction: 0 degrees and 60 degrees. Results. Using AI NN, 3 classes of particles were identified: protons, electrons & photons, and ions & fast neutrons. Placing a Ti implant in the beam's path resulted in predominantly electrons and photons, contributing 52.2% of the total number of detected particles, whereas for plastic implants, the contribution was 65.4%. Scattered protons comprised 45.5% and 31.9% with and without metal inserts, respectively. The LET spectra were derived for each group of particles identified, with values ranging from 0.01 to 7.5 keV mu m-1 for Ti implants/plastic implants. The low-LET component was primarily composed of electrons and photons, while the high-LET component corresponded to protons and ions. Significance. This method, complemented by directional maps, holds the potential for evaluating and validating treatment plans involving stray radiation near organs at risk, offering precise discrimination of the mixed field, and enhancing in this way the LET calculation.",0,"The article discusses AI applications in proton therapy, not specifically in carbon ion therapy.","Okay, so I need to figure out if this article is about applying AI methods in carbon ion therapy. Let me read through the abstract carefully. The title mentions particle tracking, recognition, and LET evaluation for proton therapy with a phantom that has implants. Hmm, it's specifically talking about protons, not carbon ions. But wait, the content does mention using AI neural networks for particle recognition. So they're applying AI in their methodology. However, the context is proton therapy, not carbon ion therapy. Carbon ion therapy is different from proton therapy because it uses heavier ions which have different physical properties and biological effects. Since the abstract doesn't mention anything about carbon ions or related therapies, even though AI methods are used, it's not directly applicable to carbon ion therapy. Therefore, I think this article isn't discussing the application of AI in carbon ion therapy but rather in proton therapy."
rayyan-97865227,Understanding Relative Biological Effectiveness and Clinical Outcome of Prostate Cancer Therapy Using Particle Irradiation : Analysis of Tumor Control Probability With the Modified Microdosimetric Kinetic Model,"Purpose: Recent experimental studies and clinical trial results might indicate that-at least for some indications-continued use of the mechanistic model for relative biological effectiveness (RBE) applied at carbon ion therapy facilities in Europe for several decades (LEM-I) may be unwarranted. We present a novel clinical framework for prostate cancer treatment planning and tumor control probability (TCP) prediction based on the modified microdosimetric kinetic model (mMKM) for particle therapy. Methods and Materials: Treatment plans of 91 patients with prostate tumors (proton: 46, carbon ions: 45) applying 66 GyRBE [RBE = 1.1 for protons and LEM-I, (a/b)x = 2.0 Gy, for carbon ions] in 20 fractions were recalculated using mMKM [(a/b)x = 3.1 Gy]). Based solely on the response data of photon-irradiated patient groups stratified according to risk and usage of androgen deprivation therapy, we derived parameters for an mMKM-based Poisson-TCP model. Subsequently, new carbon and helium ion plans, adhering to prescribed biological dose criteria, were generated. These were systematically compared with the clinical experience of Japanese centers employing an analogous fractionation scheme and existing proton plans. Results: mMKM predictions suggested significant biological dose deviation between the proton and carbon ion arms. Patients irradiated with protons received (3.25 f 0.08) GyRBEmMKM/Fx, whereas patients treated with carbon ions received (2.51 f 0.05) GyRBEmMKM/Fx. TCP predictions were (86 f 3)% for protons and (52 f 4)% for carbon ions, matching the clinical outcome of 85% and 50%. Newly optimized carbon ion plans, guided by the mMKM/TCP model, effectively replicated clinical data from Japanese centers. Using mMKM, helium ions exhibited similar target coverage as proton and carbon ions and improved rectum and bladder sparing compared with proton. Conclusions: Our mMKM-based model for prostate cancer treatment planning and TCP prediction was validated against clinical data for proton and carbon ion therapy, and its application was extended to helium ion therapy. Based on the data presented in this work, mMKM seems to be a good candidate for clinical biological calculations in carbon ion therapy for prostate cancer. (c) 2024 The Author(s). Published by Elsevier Inc. This is an open access article under the CC BY license (http://creativecommons. org/licenses/by/4.0/)",0,The abstract discusses a novel clinical framework and modified microdosimetric kinetic model (mMKM) for tumor control probability prediction but does not mention any application of AI methods in carbon ion therapy.,"Okay, so I need to figure out if this article discusses the application of AI methods in carbon ion therapy based on its abstract. Let me read through the abstract carefully and see what it's about. The title mentions understanding Relative Biological Effectiveness (RBE) and clinical outcomes using particle irradiation, specifically looking at tumor control probability with a modified microdosimetric kinetic model (mMKM). The purpose section talks about recent studies suggesting that the current RBE model used in Europe might not be necessary anymore. They're presenting a new framework for treatment planning and TCP prediction using mMKM. Methods include recalculating treatment plans for 91 patients, comparing proton and carbon ion therapies, deriving parameters from photon-irradiated patient data, and generating new plans with mMKM. Results show significant biological dose deviations between protons and carbon ions, with specific Gy values and TCP percentages matching clinical outcomes. They also extended the model to helium ion therapy, showing improved sparing of rectum and bladder compared to protons. Conclusions validate the mMKM model against clinical data for both proton and carbon ion therapies and suggest it's a good candidate for biological calculations in carbon ion therapy for prostate cancer. Now, looking for AI methods: The abstract mentions models like mMKM and Poisson-TCP, but these are physics-based or statistical models, not machine learning or AI techniques. There's no mention of algorithms, neural networks, or any AI/ML approaches. So the article is about a new model for treatment planning, not applying AI methods in carbon ion therapy."
rayyan-97865228,Use of parvovirus B19-like particles in self-illuminated photodynamic therapy for solid tumors,"Bioluminescence resonance energy transfer photodynamic therapy, which uses light generated by bioluminescent proteins to activate photosensitizers and produce reactive oxygen species without the need for external irradiation, has shown promising results in cancer models. However, the characterization of delivery systems that can incorporate the components of this therapy for preferential delivery to the tumor remains necessary. In this work, we have characterized parvovirus B19-like particles (B19V-VLPs) as a platform for a photosensitizer and a bioluminescent protein. By chemical and biorthogonal conjugation, we conjugated rose Bengal photosensitizer and firefly luciferase to B19V-VLPs and a protein for added specificity. The results showed that B19V-VLPs can withstand decoration with all three components without affecting its structure or stability. The conjugated luciferase showed activity and was able to activate rose Bengal to produce singlet oxygen without the need for external light. The photodynamic reaction generated by the functionalized VLPs-B19 can decrease the viability of tumor cells in vitro and affect tumor growth and metastasis in the 4 T1 model. Treatment with functionalized VLPs-B19 also increased the percentage of CD4 and CD8 cell populations in the spleen and in inguinal lymph nodes compared to vehicle-treated mice. Our results support B19V-VLPs as a delivery platform for bioluminescent photodynamic therapy components to solid tumors.",0,"The article focuses on using parvovirus B19-like particles as a delivery platform for photodynamic therapy components, not on AI methods in carbon ion therapy.","Okay, so I need to figure out if this article is about applying AI methods in carbon ion therapy based on the abstract provided. Let me read through the abstract carefully. The title mentions 'parvovirus B19-like particles' and 'self-illuminated photodynamic therapy for solid tumors.' Hmm, that sounds like a treatment method using virus-like particles to deliver something related to photodynamic therapy. Photodynamic therapy typically uses light-sensitive drugs activated by light to treat cancer cells. The abstract goes on to talk about bioluminescence resonance energy transfer and how they're using these particles as delivery systems for photosensitizers and bioluminescent proteins. They mention conjugating rose Bengal, which is a photosensitizer, and firefly luciferase, which is involved in light production. The study shows that these modified virus-like particles can effectively deliver the necessary components to tumor sites without needing external light, which is interesting because it could reduce side effects or make treatment easier. They also tested this on tumor models and saw reduced viability of tumor cells and some immune response changes. Nowhere in the abstract do they mention anything about AI methods or carbon ion therapy. Carbon ion therapy is a type of radiation therapy that uses ions to target cancer cells more precisely, but there's no indication here that AI is being used for any part of this process—like treatment planning, delivery optimization, or patient monitoring. The focus is entirely on the delivery mechanism using virus-like particles and photodynamic therapy components. So based solely on the abstract provided, it doesn't seem like the article discusses AI applications in carbon ion therapy at all. It's more about a novel delivery system for photodynamic therapy using viral vectors."
rayyan-97865231,Carbon Ion and Photon Radiation Therapy Show Enhanced Antitumoral Therapeutic Ef fi cacy With Neoantigen RNA-LPX Vaccines in Preclinical Colon Carcinoma Models,"Purpose: Personalized liposome-formulated mRNA vaccines (RNA-LPX) are a powerful new tool in cancer immunotherapy. In preclinical tumor models, RNA-LPX vaccines are known to achieve potent results when combined with conventional X-ray radiation therapy (XRT). Densely ionizing radiation used in carbon ion radiation therapy (CIRT) may induce distinct effects in combination with immunotherapy compared with sparsely ionizing X-rays. Methods and Materials: Within this study, we investigate the potential of CIRT and isoeffective doses of XRT to mediate tumor growth inhibition and survival in murine colon adenocarcinoma models in conjunction with neoantigen (neoAg)-speci fi c RNA-LPX vaccines encoding both major histocompatibility complex (MHC) class I - and class II - restricted tumor -speci fi c neoantigens. We characterize tumor immune in fi ltrates and antigen -speci fi c T cell responses by fl ow cytometry and interferon - g enzyme -linked immunosorbent spot (ELISpot) analyses, respectively. Results: NeoAg RNA-LPX vaccines signi fi cantly potentiate radiation therapy - mediated tumor growth inhibition. CIRT and XRT alone marginally prime neoAg-speci fi c T cell responses detected in the tumors but not in the blood or spleens of mice. In fi ltration and cytotoxicity of neoAg-speci fi c T cells is strongly driven by RNA-LPX vaccines and is accompanied by reduced expression of the inhibitory markers PD -1 and Tim -3 on these cells. The neoAg RNA-LPX vaccine shows similar overall therapeutic ef fi cacy in combination with both CIRT and XRT, even if the physical radiation dose is lower for carbon ions than for Xrays. Conclusions: We hence conclude that the combination of CIRT and neoAg RNA-LPX vaccines is a promising strategy for the treatment of radioresistant tumors. (c) 2024 The Authors. Published by Elsevier Inc. This is an open access article under the CC BY license (http://creativecommons.org/licenses/by/4.0/)",0,The abstract discusses the combination of RNA-LPX vaccines with carbon ion and photon radiation therapies but does not mention any application of AI methods.,"Okay, so I need to figure out if this article discusses the application of AI methods in carbon ion therapy based on its abstract. Let me read through the abstract carefully. The title mentions Carbon Ion and Photon Radiation Therapy along with Neoantigen RNA-LPX Vaccines in preclinical colon carcinoma models. The content talks about personalized mRNA vaccines, their combination with radiation therapies like X-ray and carbon ion, and how they affect tumor growth and survival in mice. They used methods like flow cytometry and ELISpot to analyze immune responses. The results show that the vaccines enhance the effectiveness of both CIRT and XRT. However, I don't see any mention of AI methods or techniques being applied here. It's all about immunotherapy combined with radiation, not machine learning, algorithms, or data analysis tools. So, it seems like the article doesn't discuss AI applications in carbon ion therapy."
rayyan-97865232,Carbon Ion Injection System for a Complex of Radiation Therapy,"A project to create a complex of radiation therapy with a beam of carbon ions for the purpose of creating technology for the treatment of radioresistant oncological neoplasms is being considered at the site of the National Research Center Kurchatov Institute, Institute of High Energy Physics, in Protvino [1, 2]. The accelerator complex will consist of the following main parts: laser ion source, matching channel, linear accelerator, ion synchrotron. The linear accelerator must provide at the output a pulse current of accelerated C+4 ions of at least 1 mA. The radio-frequency quadruple (RFQ) is supposed to be used as the first section of the linear accelerator. Modeling of the injection system for a linear accelerator includes calculations of the ion extraction system, the matching channel, and the beam dynamics in RFQ to assess the quality of the beam at the RFQ output. As a result of the calculations, a C+4 carbon ion beam injection system has been developed that increases the beam emittance in the matching channel of no more than 30% and makes possible the diagnostics and correction of the beam up to RFQ and the almost complete capture of the beam in the accelerating system.",0,The abstract focuses on the development of a carbon ion injection system and its components without mentioning AI methods or their application in therapy.,"Okay, so I need to figure out if this article is about applying AI methods in carbon ion therapy. Let me read through the abstract carefully. The title mentions a Carbon Ion Injection System for radiation therapy. The content talks about creating an accelerator complex with various components like a laser ion source, linear accelerator, and synchrotron. They're discussing beam dynamics, modeling of the injection system, calculations for ion extraction, matching channels, and beam capture efficiency. There's mention of increasing beam emittance and diagnostics but nothing about AI or machine learning techniques. The focus seems to be on the engineering aspects of building the system rather than applying any AI methods in therapy. So, I don't see any indication that AI is being used here. It's more about the technical setup and optimization of the accelerator for treatment purposes."
rayyan-97865233,Carbon ion radiotherapy of hepatocellular carcinoma provides excellent local control: The prospective phase I PROMETHEUS trial,"Background & Aims: Inoperable hepatocellular carcinoma (HCC) can be treated by stereotactic body radiotherapy. However, carbon ion radiotherapy (CIRT) is more effective for sparing non -tumorous liver. High linear energy transfer could promote therapy ef ficacy. Japanese and Chinese studies on hypofractionated CIRT have yielded excellent results. Because of different radiobiological models and the different etiological spectrum of HCC, applicability of these results to European cohorts and centers remains questionable. The aim of this prospective study was to assess safety and ef ficacy and to determine the optimal dose of CIRT with active raster scanning based on the local effect model (LEM) I. Methods: CIRT was performed every other day in four fractions with relative biological effectiveness (RBE)-weighted fraction doses of 8.1 -10.5 Gy (total doses 32.4 -42.0 Gy [RBE]). Dose escalation was performed in five dose levels with at least three patients each. The primary endpoint was acute toxicity after 4 weeks. Results: Twenty patients received CIRT (median age 74.7 years, n = 16 with liver cirrhosis, Child -Pugh scores [CP] A5 [n = 10], A6 [n = 4], B8 [n = 1], and B9 [n = 1]). Median follow up was 23 months. No dose -limiting toxicities and no toxicities exceeding grade II occurred, except one grade III gamma-glutamyltransferase elevation 12 months after CIRT, synchronous to out -of - field hepatic progression. During 12 months after CIRT, no CP elevation occurred. The highest dose level could be applied safely. No local recurrence developed during follow up. The objective response rate was 80%. Median overall survival was 30.8 months (1/2/3 years: 75%/64%/22%). Median progression -free survival was 20.9 months (1/2/3 years: 59%/43%/43%). Intrahepatic progression outside of the CIRT target volume was the most frequent pattern of progression. Conclusions: CIRT of HCC yields excellent local control without dose -limiting toxicity. Impact and implications: To date, safety and ef ficacy of carbon ion radiotherapy for hepatocellular carcinoma have only been evaluated prospectively in Japanese and Chinese studies. The optimal dose and fractionation when using the local effect model for radiotherapy planning are unknown. The results are of particular interest for European and American particle therapy centers, but also of relevance for all specialists involved in the treatment and care of patients with hepatocellular carcinoma, as we present the first prospective data on carbon ion radiotherapy in hepatocellular carcinoma outside of Asia. The excellent local control should encourage further use of carbon ion radiotherapy for hepatocellular carcinoma and design of randomized controlled trials. Clinical Trials Registration: The study is registered at ClinicalTrials.gov (NCT01167374). (c) 2024 The Authors. Published by Elsevier B.V. on behalf of European Association for the Study of the Liver (EASL). This is an open access article under the CC BY license (http://creativecommons.org/licenses/by/4.0/).",0,The abstract discusses a clinical trial evaluating carbon ion radiotherapy's safety and efficacy for hepatocellular carcinoma without mentioning any AI methods or their application.,"Okay, so I need to determine if this article discusses the application of AI methods in carbon ion therapy based solely on its abstract. Let me read through the abstract carefully. The title mentions a trial using CIRT for hepatocellular carcinoma and talks about local control. The content describes a prospective phase I trial assessing safety and efficacy, determining optimal doses with active raster scanning based on the Local Effect Model (LEM) I. They mention methods involving fraction doses and dose escalation across five levels. Results include no dose-limiting toxicities and high response rates. Conclusions highlight excellent local control without toxicity issues. The impact section notes that this is the first prospective data outside of Asia, encouraging further use and randomized trials. Nowhere in the abstract do they mention AI methods or any machine learning techniques. They talk about models for radiotherapy planning but not AI applications. So, it seems like the article focuses on clinical trial results and treatment outcomes rather than AI applications in therapy."
rayyan-97865235,A weighted combination of reproducing kernel particle shape functions with cardinal functions of scalable polyharmonic spline radial kernel utilized in Galerkin weak form of a mathematical model related to anti-angiogenic therapy,"In this manuscript, a new localized meshfree (meshless) approximation, i.e., a combination of the reproducing kernel particle (RKP) shape functions with the cardinal functions of the scalable polyharmonic spline radial kernel with polynomial augmentation (PHS+poly) is introduced. It is called the RKP+PHS+poly approximation, and its convergence rate is of order O ( h m +1 ) , where m is the total degree of polynomials. We apply this method to construct the spaces of trial and test functions in a Galerkin scheme of an extended version of the biological mathematical model in two dimensions describing the interactions between endothelial cells, fibronectin, angiogenic growth factors, and fasentin concentrations. By considering the rowsum method, the eigenvalue stability is also numerically carried out for the discrete equations corresponding to the obtained weak formulation. Accordingly, a semi-implicit form of the backward difference method of order 1 (SBDF1) has been utilized to approximate the weak form in time. We complete our numerical algorithm by solving the obtained full-discretized problem overtime via the biconjugate gradient stabilized (BiCGSTAB) solver with a proper preconditioner. Some simulation results are investigated by estimating the maximum velocity parameter of an enzymatic reaction from the experimental dose-response curve of fasentin to demonstrate the effect of using fasentin drug.",0,The abstract focuses on a new meshfree approximation method for modeling biological processes related to anti-angiogenic therapy and does not mention AI methods or carbon ion therapy.,"Okay, so I need to figure out if this article is about applying AI methods in carbon ion therapy based on its abstract. Let me read through it carefully. The title mentions a weighted combination of reproducing kernel particle shape functions and some radial kernels used in a Galerkin weak form for an anti-angiogenic therapy model. Hmm, that sounds like mathematical modeling rather than AI applications. The content talks about introducing a new meshfree approximation method combining RKP with PHS+poly. They discuss convergence rates, applying it to construct trial and test functions in a Galerkin scheme for a biological model involving endothelial cells, fibronectin, growth factors, and fasentin concentrations. They also mention eigenvalue stability using the rowsum method, time approximation with SBDF1, and solving the discretized problem with BiCGSTAB solver. The simulations estimate enzymatic reaction velocity from experimental data of fasentin. So, this is all about developing a numerical method for modeling biological processes related to anti-angiogenic therapy, not AI methods in carbon ion therapy. Carbon ion therapy isn't even mentioned here. Therefore, the article doesn't discuss AI applications in that specific medical treatment."
rayyan-97865236,Experimental evidence that carbon-ion radiotherapy utilizes cytotoxic T lymphocyte-mediated anti-tumor immunity for shrinking tumors compared to X-ray therapy,"The therapeutic efficacy of radiotherapy (RT) is primarily driven by two factors: biophysical DNA damage in cancer cells and radiation-induced anti-tumor immunity. However, Anti-tumor immune responses between X-ray RT (XRT) and carbon-ion RT (CIRT) remain unclear. In this study, we, employed mouse models to assess the immunological contribution, especially cytotoxic T-lymphocyte (CTL)-mediated immunity, to the therapeutic effectiveness of XRT and CIRT in shrinking tumors. We irradiated mouse intradermal tumors of B16F10ovalbumin (OVA) mouse melanoma cells and 3LL-OVA mouse lung cancer cells with carbon-ion beams or Xrays in the presence or absence of CTLs. CTL removal was performed by administration of anti-CD8 monoclonal antibody (mAb) in mice. Based on tumor growth delay, we determined the tumor growth and regression curves. The enhancement ratio (ER) of the slope of regression lines in the presence of CTLs, relative to the absence of CTLs, indicates the dependency of RT on CTLs for shrinking mouse tumors, and the biological effectiveness (RBE) of CIRT relative to XRT were calculated. Tumor growth curves revealed that the elimination of CD8+ CTLs by administrating anti-CD8 mAb accelerated tumor growth compared to the presence of CTLs in both RTs. The ERs were larger in CIRT compared to XRT in the B16F10-OVA tumor models, but not in the 3LL-OVA models, suggesting a greater contribution of CTL-mediated anti-tumor immunity to tumor reduction in CIRT compared to XRT in the B16F10-OVA tumor model. In addition, the RBE values for both models were larger in the presence of CTLs compared to models without CTLs, suggesting that CIRT may utilize CTL-mediated anti-tumor immunity more than X-ray. The findings from this study suggest that although immunological contribution to therapeutic efficacy may vary depending on the type of tumor cell, CIRT utilizes CTL-mediated immunity to a greater extent compared to XRT.",0,"The abstract focuses on comparing the immunological effects of X-ray and carbon-ion radiotherapy, specifically the role of cytotoxic T lymphocytes, without mentioning any AI methods or their application.","Okay, so I need to figure out if the article is about applying AI methods in carbon ion therapy based solely on its abstract. Let me read through the abstract carefully. The title mentions that carbon-ion radiotherapy uses cytotoxic T lymphocyte-mediated anti-tumor immunity compared to X-ray therapy. The content talks about therapeutic efficacy being driven by DNA damage and immune responses, comparing XRT and CIRT. They used mouse models to assess immunological contributions, especially CTLs. They looked at tumor growth delay, calculated ER and RBE values, and found that CIRT relies more on CTL-mediated immunity than XRT in some models. The conclusion is about the greater use of immune mechanisms by CIRT compared to XRT. Nowhere in the abstract do they mention AI methods or any computational techniques. They're focusing on biological processes and immune responses rather than applying machine learning or other AI tools. So, it doesn't seem like the article discusses AI applications in carbon ion therapy."
