key,title,abstract,decision,reason,thoughts
rayyan-97865221,"Responsive Magnetic Particle Imaging Tracer: Overcoming ""Always-On"" Limitation, Eliminating Interference, and Ensuring Safety in Adaptive Therapy","Magnetic particle imaging (MPI) has emerged as a novel technology utilizing superparamagnetic nanoparticles as tracers, essential for disease diagnosis and treatment guidance in preclinical animal models. Unlike other modalities, MPI provides high sensitivity, deep tissue penetration, and no signal attenuation. However, existing MPI tracers suffer from ""always-on"" signals, which complicate organ-specific imaging and hinder accuracy. To overcome these challenges, we have developed a responsive MPI tracer using pH-responsive PdFe alloy particles coated with a gatekeeper polymer. This tracer exhibits pH-sensitive Fe release and modulation of the MPI signal, enabling selective imaging with a higher signal-to-noise ratio and intratumoral pH quantification. Notably, this responsive tracer facilitates subtraction-enhanced MPI imaging, effectively eliminating interference from liver uptake and expanding the scope of abdominal imaging. Additionally, the tracer employs a dual-function mechanism for adaptive cancer therapy, combining pH-switchable enzyme-like catalysis with dual-key co-activation of ROS generation, and Pd skeleton that scavenges free radicals to minimize Fe-related toxicity. This advancement promises to significantly expand MPI's applicability in diagnostics and therapeutic monitoring, marking a leap forward in imaging technology.        This responsive MPI tracer for subtraction-enhanced MPI imaging, accurate molecular imaging, and environment-adaptive therapy, offers the potential to maximize therapeutic outcomes and minimize side effects. This technique effectively eliminates interference signals originating from non-specific liver uptake. image",0,The article discusses advancements in Magnetic Particle Imaging (MPI) tracers but does not mention AI methods or their application in carbon ion therapy.,"Okay, so I need to determine whether this article should be included in a literature review on the applications of AI methods in carbon ion therapy. The abstract is about Magnetic Particle Imaging (MPI) tracers and their development for better imaging and adaptive cancer therapy. It mentions using pH-responsive particles and some mechanisms for therapy but doesn't specifically talk about AI methods or carbon ion therapy. Carbon ion therapy typically involves precise radiation delivery, often using technologies like particle accelerators and maybe AI for treatment planning or optimization. Since the abstract focuses on MPI tracers without mentioning AI or carbon ions, it seems unrelated to the topic. Therefore, I shouldn't select this article."
rayyan-97865222,"The role of apoptosis, immunogenic cell death, and macrophage polarization in carbon ion radiotherapy for keloids: Targeting the TGF-β1/ SMADs signaling pathway","Keloids, characterized by excessive extracellular matrix (ECM) deposition and aberrant fibrous tissue proliferation, present significant therapeutic challenges due to their recalcitrant and recurrent nature. This study explores the efficacy of Carbon Ion Radiotherapy (CIRT) as a novel therapeutic approach for keloids, focusing on its impact on fibroblast proliferation, apoptosis induction, immunogenic cell death (ICD), macrophage polarization, and the TGF-beta/SMAD signaling pathway. Utilizing a murine model of keloid formed by subcutaneous injection of zeocin in C57BL/6 mice, we demonstrated that CIRT effectively reduces collagenous fiber synthesis and collagen production in keloid tissues. Further, CIRT was shown to inhibit keloid fibroblast proliferation and to induce apoptosis, as evidenced by increased expression of apoptosis-related proteins and confirmed through flow cytometry and TUNEL assay. Notably, CIRT induced mitochondrial stress, leading to enhanced immunogenicity of cell death, characterized by increased expression of ICD markers and secretion of interferon-y. Additionally, CIRT promoted a shift from M2 to M1 macrophage polarization, potentially reducing TGF-beta release and mitigating ECM deposition. Our findings suggest that CIRT mediates its therapeutic effects through the inhibition of the TGF-beta/SMAD signaling pathway, thereby attenuating ECM formation and offering a promising avenue for keloid treatment. This study underscores the potential of CIRT as an innovative strategy for managing keloids, highlighting its multifaceted impact on key cellular processes involved in keloid pathogenesis.",0,The study focuses on biological mechanisms of carbon ion therapy but does not involve any AI methods or techniques.,"Okay, so I need to determine whether this article should be included in a literature review about the applications of AI methods in carbon ion therapy. The abstract provided is about a study using Carbon Ion Radiotherapy (CIRT) for treating keloids. It discusses the effects on fibroblast proliferation, apoptosis, immunogenic cell death, macrophage polarization, and the TGF-beta/SMAD signaling pathway. They used a murine model to demonstrate these effects. However, I don't see any mention of AI methods or techniques in this abstract. The focus is purely on biological processes and therapeutic outcomes without involving machine learning, algorithms, or data analysis tools that would fall under AI applications. Since the topic specifically asks for AI applications, and this article doesn't address that aspect, it shouldn't be selected."
rayyan-97865224,"Particle tracking, recognition and LET evaluation of out-of-field proton therapy delivered to a phantom with implants","Objective. This study aims to assess the composition of scattered particles generated in proton therapy for tumors situated proximal to some titanium (Ti) dental implants. The investigation involves decomposing the mixed field and recording Linear Energy Transfer (LET) spectra to quantify the influence of metallic dental inserts located behind the tumor. Approach. A therapeutic conformal proton beam was used to deliver the treatment plan to an anthropomorphic head phantom with two types of implants inserted in the target volume (made of Ti and plastic, respectively). The scattered radiation resulted during the irradiation was detected by a hybrid semiconductor pixel detector MiniPIX Timepix3 that was placed distal to the Spread-out Bragg peak. Visualization and field decomposition of stray radiation were generated using algorithms trained in particle recognition based on artificial intelligence neural networks (AI NN). Spectral sensitive aspects of the scattered radiation were collected using two angular positions of the detector relative to the beam direction: 0 degrees and 60 degrees. Results. Using AI NN, 3 classes of particles were identified: protons, electrons & photons, and ions & fast neutrons. Placing a Ti implant in the beam's path resulted in predominantly electrons and photons, contributing 52.2% of the total number of detected particles, whereas for plastic implants, the contribution was 65.4%. Scattered protons comprised 45.5% and 31.9% with and without metal inserts, respectively. The LET spectra were derived for each group of particles identified, with values ranging from 0.01 to 7.5 keV mu m-1 for Ti implants/plastic implants. The low-LET component was primarily composed of electrons and photons, while the high-LET component corresponded to protons and ions. Significance. This method, complemented by directional maps, holds the potential for evaluating and validating treatment plans involving stray radiation near organs at risk, offering precise discrimination of the mixed field, and enhancing in this way the LET calculation.",0,The article focuses on AI applications in proton therapy rather than carbon ion therapy.,"Okay, so I need to determine whether this article should be included in a literature review on the applications of AI methods in carbon ion therapy. Let me read through the abstract carefully. The title mentions particle tracking, recognition, and LET evaluation using proton therapy with implants. Hmm, the topic is about carbon ion therapy, but the study here uses protons instead. That's different because carbon ions are heavier particles used in radiotherapy for better tissue penetration and tumor targeting compared to protons. So, the application of AI methods here is in proton therapy, not specifically carbon ion therapy. The abstract talks about using AI neural networks for particle recognition and tracking scattered radiation during proton treatment. While this is an application of AI in radiation therapy, it's not directly related to carbon ions. Therefore, even though the article uses AI, it doesn't fit the specific focus on carbon ion therapy. I should probably exclude it unless there's a mention or implication about carbon ions elsewhere, but from the abstract provided, that's not the case. So, my decision is 0 because it's about proton therapy, not carbon ion therapy."
rayyan-97865227,Understanding Relative Biological Effectiveness and Clinical Outcome of Prostate Cancer Therapy Using Particle Irradiation : Analysis of Tumor Control Probability With the Modified Microdosimetric Kinetic Model,"Purpose: Recent experimental studies and clinical trial results might indicate that-at least for some indications-continued use of the mechanistic model for relative biological effectiveness (RBE) applied at carbon ion therapy facilities in Europe for several decades (LEM-I) may be unwarranted. We present a novel clinical framework for prostate cancer treatment planning and tumor control probability (TCP) prediction based on the modified microdosimetric kinetic model (mMKM) for particle therapy. Methods and Materials: Treatment plans of 91 patients with prostate tumors (proton: 46, carbon ions: 45) applying 66 GyRBE [RBE = 1.1 for protons and LEM-I, (a/b)x = 2.0 Gy, for carbon ions] in 20 fractions were recalculated using mMKM [(a/b)x = 3.1 Gy]). Based solely on the response data of photon-irradiated patient groups stratified according to risk and usage of androgen deprivation therapy, we derived parameters for an mMKM-based Poisson-TCP model. Subsequently, new carbon and helium ion plans, adhering to prescribed biological dose criteria, were generated. These were systematically compared with the clinical experience of Japanese centers employing an analogous fractionation scheme and existing proton plans. Results: mMKM predictions suggested significant biological dose deviation between the proton and carbon ion arms. Patients irradiated with protons received (3.25 f 0.08) GyRBEmMKM/Fx, whereas patients treated with carbon ions received (2.51 f 0.05) GyRBEmMKM/Fx. TCP predictions were (86 f 3)% for protons and (52 f 4)% for carbon ions, matching the clinical outcome of 85% and 50%. Newly optimized carbon ion plans, guided by the mMKM/TCP model, effectively replicated clinical data from Japanese centers. Using mMKM, helium ions exhibited similar target coverage as proton and carbon ions and improved rectum and bladder sparing compared with proton. Conclusions: Our mMKM-based model for prostate cancer treatment planning and TCP prediction was validated against clinical data for proton and carbon ion therapy, and its application was extended to helium ion therapy. Based on the data presented in this work, mMKM seems to be a good candidate for clinical biological calculations in carbon ion therapy for prostate cancer. (c) 2024 The Author(s). Published by Elsevier Inc. This is an open access article under the CC BY license (http://creativecommons. org/licenses/by/4.0/)",0,The article discusses the use of a modified microdosimetric kinetic model (mMKM) for treatment planning in carbon ion therapy but does not explicitly involve AI methods.,"Okay, so I need to determine whether this article should be included in a literature review on the applications of AI methods in carbon ion therapy. The abstract provided is about using a modified microdosimetric kinetic model (mMKM) for treatment planning and tumor control probability prediction in prostate cancer patients treated with protons and carbon ions. They mention recalculating treatment plans, deriving parameters from photon-irradiated patient data, comparing with clinical experiences, and extending the model to helium ion therapy. The conclusion is that mMKM is a good candidate for biological calculations in carbon ion therapy. Now, I need to assess if this article meets the criteria: it should be original research, not a review, and relevant to AI applications in carbon ion therapy. The abstract doesn't explicitly mention AI methods; instead, it talks about a model (mMKM) used for treatment planning. While models can involve AI, especially machine learning, the term isn't used here. It seems more like a biophysical model rather than an AI application. Therefore, this article might not be directly relevant to AI applications in carbon ion therapy unless mMKM is considered an AI method, which I'm not sure about. Since it's not clear that AI methods are involved, and the focus is on a specific model for treatment planning, I think it doesn't fit the topic well enough."
rayyan-97865228,Use of parvovirus B19-like particles in self-illuminated photodynamic therapy for solid tumors,"Bioluminescence resonance energy transfer photodynamic therapy, which uses light generated by bioluminescent proteins to activate photosensitizers and produce reactive oxygen species without the need for external irradiation, has shown promising results in cancer models. However, the characterization of delivery systems that can incorporate the components of this therapy for preferential delivery to the tumor remains necessary. In this work, we have characterized parvovirus B19-like particles (B19V-VLPs) as a platform for a photosensitizer and a bioluminescent protein. By chemical and biorthogonal conjugation, we conjugated rose Bengal photosensitizer and firefly luciferase to B19V-VLPs and a protein for added specificity. The results showed that B19V-VLPs can withstand decoration with all three components without affecting its structure or stability. The conjugated luciferase showed activity and was able to activate rose Bengal to produce singlet oxygen without the need for external light. The photodynamic reaction generated by the functionalized VLPs-B19 can decrease the viability of tumor cells in vitro and affect tumor growth and metastasis in the 4 T1 model. Treatment with functionalized VLPs-B19 also increased the percentage of CD4 and CD8 cell populations in the spleen and in inguinal lymph nodes compared to vehicle-treated mice. Our results support B19V-VLPs as a delivery platform for bioluminescent photodynamic therapy components to solid tumors.",0,The article discusses photodynamic therapy using viral particles but does not mention AI methods or carbon ion therapy.,"Okay, so I need to determine whether this article should be included in a literature review on the applications of AI methods in carbon ion therapy. The abstract provided is about using parvovirus B19-like particles in self-illuminated photodynamic therapy for solid tumors. Let me break this down step by step. First, the topic we're focusing on is AI methods applied to carbon ion therapy. Carbon ion therapy is a type of radiation therapy that uses carbon ions instead of X-rays or protons. It's known for its precision in targeting cancer cells while sparing surrounding healthy tissue. Now, looking at the abstract, it discusses photodynamic therapy (PDT), which involves using light-sensitive drugs and light to kill cancer cells. The article specifically talks about bioluminescence resonance energy transfer PDT, where light is generated by bioluminescent proteins instead of external sources. They're using parvovirus B19-like particles as delivery systems for the photosensitizer and a bioluminescent protein. The study shows that these VLPs can effectively deliver both components to tumor sites, leading to decreased tumor viability and increased immune response in mice models. Now, considering our topic, we need articles that discuss AI methods applied to carbon ion therapy. This abstract doesn't mention anything about artificial intelligence, machine learning, or any computational methods. It's purely focused on a novel delivery system for photodynamic therapy using viral particles. Carbon ion therapy isn't even mentioned here; instead, it's about PDT. Therefore, while the article is relevant to cancer treatment and innovative drug delivery systems, it doesn't touch upon AI applications in carbon ion therapy. Since our focus is strictly on AI methods within that specific therapeutic context, this article doesn't fit the criteria. Additionally, the note specifies not to select non-original research articles like reviews, but this seems to be an original study. However, its content isn't aligned with the topic at hand. So, based on these observations, I should mark it as '0' because it doesn't meet the inclusion criteria for AI applications in carbon ion therapy."
rayyan-97865231,Carbon Ion and Photon Radiation Therapy Show Enhanced Antitumoral Therapeutic Ef fi cacy With Neoantigen RNA-LPX Vaccines in Preclinical Colon Carcinoma Models,"Purpose: Personalized liposome-formulated mRNA vaccines (RNA-LPX) are a powerful new tool in cancer immunotherapy. In preclinical tumor models, RNA-LPX vaccines are known to achieve potent results when combined with conventional X-ray radiation therapy (XRT). Densely ionizing radiation used in carbon ion radiation therapy (CIRT) may induce distinct effects in combination with immunotherapy compared with sparsely ionizing X-rays. Methods and Materials: Within this study, we investigate the potential of CIRT and isoeffective doses of XRT to mediate tumor growth inhibition and survival in murine colon adenocarcinoma models in conjunction with neoantigen (neoAg)-speci fi c RNA-LPX vaccines encoding both major histocompatibility complex (MHC) class I - and class II - restricted tumor -speci fi c neoantigens. We characterize tumor immune in fi ltrates and antigen -speci fi c T cell responses by fl ow cytometry and interferon - g enzyme -linked immunosorbent spot (ELISpot) analyses, respectively. Results: NeoAg RNA-LPX vaccines signi fi cantly potentiate radiation therapy - mediated tumor growth inhibition. CIRT and XRT alone marginally prime neoAg-speci fi c T cell responses detected in the tumors but not in the blood or spleens of mice. In fi ltration and cytotoxicity of neoAg-speci fi c T cells is strongly driven by RNA-LPX vaccines and is accompanied by reduced expression of the inhibitory markers PD -1 and Tim -3 on these cells. The neoAg RNA-LPX vaccine shows similar overall therapeutic ef fi cacy in combination with both CIRT and XRT, even if the physical radiation dose is lower for carbon ions than for Xrays. Conclusions: We hence conclude that the combination of CIRT and neoAg RNA-LPX vaccines is a promising strategy for the treatment of radioresistant tumors. (c) 2024 The Authors. Published by Elsevier Inc. This is an open access article under the CC BY license (http://creativecommons.org/licenses/by/4.0/)",0,The article discusses the combination of carbon ion radiation therapy with RNA-LPX vaccines but does not mention any AI methods or techniques.,"Okay, so I need to determine whether this article should be included in a literature review on the applications of AI methods in carbon ion therapy. Let me read through the abstract carefully. The title mentions Carbon Ion and Photon Radiation Therapy along with Neoantigen RNA-LPX Vaccines in preclinical colon carcinoma models. The purpose talks about personalized mRNA vaccines as tools in cancer immunotherapy, combining them with conventional X-ray radiation and comparing it to CIRT. They used methods like flow cytometry and ELISpot for analysis. Results show that the vaccines potentiate tumor growth inhibition when combined with either CIRT or XRT. The conclusion suggests this combination is promising for treating radioresistant tumors. Now, looking at the content, I don't see any mention of AI methods or techniques. It's all about radiation therapy and immunotherapy combinations. So, even though it's related to carbon ion therapy, it doesn't discuss AI applications. Therefore, it shouldn't be selected for this literature review."
rayyan-97865232,Carbon Ion Injection System for a Complex of Radiation Therapy,"A project to create a complex of radiation therapy with a beam of carbon ions for the purpose of creating technology for the treatment of radioresistant oncological neoplasms is being considered at the site of the National Research Center Kurchatov Institute, Institute of High Energy Physics, in Protvino [1, 2]. The accelerator complex will consist of the following main parts: laser ion source, matching channel, linear accelerator, ion synchrotron. The linear accelerator must provide at the output a pulse current of accelerated C+4 ions of at least 1 mA. The radio-frequency quadruple (RFQ) is supposed to be used as the first section of the linear accelerator. Modeling of the injection system for a linear accelerator includes calculations of the ion extraction system, the matching channel, and the beam dynamics in RFQ to assess the quality of the beam at the RFQ output. As a result of the calculations, a C+4 carbon ion beam injection system has been developed that increases the beam emittance in the matching channel of no more than 30% and makes possible the diagnostics and correction of the beam up to RFQ and the almost complete capture of the beam in the accelerating system.",0,The abstract focuses on the engineering design and modeling of a carbon ion accelerator complex without mentioning AI methods.,"Okay, so I need to determine whether this article should be included in a literature review on the applications of AI methods in carbon ion therapy. Let me read through the abstract carefully. The title is about a Carbon Ion Injection System for a radiation therapy complex. The content talks about creating technology using carbon ions to treat radioresistant cancers at a specific research center. They mention an accelerator complex with various components like a laser ion source, matching channel, linear accelerator, and ion synchrotron. The focus seems to be on the design and modeling of these systems, specifically looking at beam dynamics and injection efficiency. There's some discussion about calculations for the ion extraction system and how it affects beam quality. They mention developing an injection system that improves beam emittance and allows for diagnostics and correction up to the RFQ section. However, I don't see any mention of AI methods or techniques being applied here. The article is more about the engineering aspects of building the accelerator complex rather than using AI in therapy applications. Since the topic requires AI applications, this doesn't fit because it's not discussing machine learning, algorithms, or any AI-related tools used in treatment planning or delivery. Therefore, I should exclude this article from the literature review."
rayyan-97865233,Carbon ion radiotherapy of hepatocellular carcinoma provides excellent local control: The prospective phase I PROMETHEUS trial,"Background & Aims: Inoperable hepatocellular carcinoma (HCC) can be treated by stereotactic body radiotherapy. However, carbon ion radiotherapy (CIRT) is more effective for sparing non -tumorous liver. High linear energy transfer could promote therapy ef ficacy. Japanese and Chinese studies on hypofractionated CIRT have yielded excellent results. Because of different radiobiological models and the different etiological spectrum of HCC, applicability of these results to European cohorts and centers remains questionable. The aim of this prospective study was to assess safety and ef ficacy and to determine the optimal dose of CIRT with active raster scanning based on the local effect model (LEM) I. Methods: CIRT was performed every other day in four fractions with relative biological effectiveness (RBE)-weighted fraction doses of 8.1 -10.5 Gy (total doses 32.4 -42.0 Gy [RBE]). Dose escalation was performed in five dose levels with at least three patients each. The primary endpoint was acute toxicity after 4 weeks. Results: Twenty patients received CIRT (median age 74.7 years, n = 16 with liver cirrhosis, Child -Pugh scores [CP] A5 [n = 10], A6 [n = 4], B8 [n = 1], and B9 [n = 1]). Median follow up was 23 months. No dose -limiting toxicities and no toxicities exceeding grade II occurred, except one grade III gamma-glutamyltransferase elevation 12 months after CIRT, synchronous to out -of - field hepatic progression. During 12 months after CIRT, no CP elevation occurred. The highest dose level could be applied safely. No local recurrence developed during follow up. The objective response rate was 80%. Median overall survival was 30.8 months (1/2/3 years: 75%/64%/22%). Median progression -free survival was 20.9 months (1/2/3 years: 59%/43%/43%). Intrahepatic progression outside of the CIRT target volume was the most frequent pattern of progression. Conclusions: CIRT of HCC yields excellent local control without dose -limiting toxicity. Impact and implications: To date, safety and ef ficacy of carbon ion radiotherapy for hepatocellular carcinoma have only been evaluated prospectively in Japanese and Chinese studies. The optimal dose and fractionation when using the local effect model for radiotherapy planning are unknown. The results are of particular interest for European and American particle therapy centers, but also of relevance for all specialists involved in the treatment and care of patients with hepatocellular carcinoma, as we present the first prospective data on carbon ion radiotherapy in hepatocellular carcinoma outside of Asia. The excellent local control should encourage further use of carbon ion radiotherapy for hepatocellular carcinoma and design of randomized controlled trials. Clinical Trials Registration: The study is registered at ClinicalTrials.gov (NCT01167374). (c) 2024 The Authors. Published by Elsevier B.V. on behalf of European Association for the Study of the Liver (EASL). This is an open access article under the CC BY license (http://creativecommons.org/licenses/by/4.0/).",0,The article focuses on clinical trial results of carbon ion radiotherapy for hepatocellular carcinoma but does not mention any AI methods or their applications.,"Okay, so I need to determine whether this article should be included in a literature review about the applications of AI methods in carbon ion therapy. Let me read through the abstract carefully. The title mentions carbon ion radiotherapy for hepatocellular carcinoma and refers to a prospective phase I trial called PROMETHEUS. The content talks about treating HCC with CIRT, comparing it to stereotactic body radiotherapy. It discusses how CIRT spares non-tumorous liver tissue better because of high linear energy transfer. They mention studies from Japan and China showing good results but question their applicability in Europe due to different radiobiological models and etiological factors. The study aims to assess safety, efficacy, and determine the optimal dose using active raster scanning based on the Local Effect Model (LEM) I. Methods include four fractions with RBE-weighted doses ranging from 8.1-10.5 Gy per fraction. They did a dose escalation across five levels with at least three patients each. The primary endpoint was acute toxicity after four weeks. Results show no dose-limiting toxicities, mostly grade II or below except one case of gamma-glutamyltransferase elevation which was linked to out-of-field progression. Local recurrence didn't happen during follow-up, objective response rate was 80%, and overall survival median was about 30 months. They conclude that CIRT is safe and effective for HCC with excellent local control. The impact section mentions this being the first prospective data outside Asia and encourages further use of CIRT and randomized trials. It's registered on ClinicalTrials.gov, so it's a legitimate study. Now, considering the topic: applications of AI methods in carbon ion therapy. This abstract doesn't mention anything about AI or machine learning. The focus is on the clinical trial results, safety, efficacy, and optimal dosing using CIRT with active raster scanning based on LEM I. While they used a model (LEM) for radiotherapy planning, there's no indication that this model involves AI methods. It seems more like a radiobiological model rather than an AI application. Therefore, since the article doesn't discuss any AI methods or their applications in carbon ion therapy, it shouldn't be included in the literature review on that specific topic."
rayyan-97865235,A weighted combination of reproducing kernel particle shape functions with cardinal functions of scalable polyharmonic spline radial kernel utilized in Galerkin weak form of a mathematical model related to anti-angiogenic therapy,"In this manuscript, a new localized meshfree (meshless) approximation, i.e., a combination of the reproducing kernel particle (RKP) shape functions with the cardinal functions of the scalable polyharmonic spline radial kernel with polynomial augmentation (PHS+poly) is introduced. It is called the RKP+PHS+poly approximation, and its convergence rate is of order O ( h m +1 ) , where m is the total degree of polynomials. We apply this method to construct the spaces of trial and test functions in a Galerkin scheme of an extended version of the biological mathematical model in two dimensions describing the interactions between endothelial cells, fibronectin, angiogenic growth factors, and fasentin concentrations. By considering the rowsum method, the eigenvalue stability is also numerically carried out for the discrete equations corresponding to the obtained weak formulation. Accordingly, a semi-implicit form of the backward difference method of order 1 (SBDF1) has been utilized to approximate the weak form in time. We complete our numerical algorithm by solving the obtained full-discretized problem overtime via the biconjugate gradient stabilized (BiCGSTAB) solver with a proper preconditioner. Some simulation results are investigated by estimating the maximum velocity parameter of an enzymatic reaction from the experimental dose-response curve of fasentin to demonstrate the effect of using fasentin drug.",0,The article discusses a numerical method for modeling anti-angiogenic therapy but does not involve AI methods or carbon ion therapy.,"Okay, so I need to determine whether this article should be included in a literature review on the applications of AI methods in carbon ion therapy. Let me read through the abstract carefully and see what it's about. The title mentions something about reproducing kernel particle shape functions combined with scalable polyharmonic spline radial kernels used in a Galerkin weak form for an anti-angiogenic therapy model. Hmm, that sounds pretty technical but not immediately related to AI or carbon ion therapy. The content describes introducing a new meshfree approximation method combining RKP and PHS+poly functions. They talk about convergence rates and applying this method to construct trial and test functions in a Galerkin scheme for a biological model involving endothelial cells, fibronectin, angiogenic growth factors, and fasentin concentrations. They also mention eigenvalue stability using the rowsum method, time approximation with SBDF1, and solving the discretized problem with BiCGSTAB solver. The simulations estimate maximum velocity parameters from experimental data of fasentin to show its effect. So, this article is about a numerical method for modeling biological processes related to anti-angiogenic therapy. It doesn't mention AI methods or carbon ion therapy at all. Therefore, it's not relevant to the given topic. I should mark it as 0 and explain that it focuses on a meshfree approximation method in biological models without any connection to AI or carbon ion therapy."
rayyan-97865236,Experimental evidence that carbon-ion radiotherapy utilizes cytotoxic T lymphocyte-mediated anti-tumor immunity for shrinking tumors compared to X-ray therapy,"The therapeutic efficacy of radiotherapy (RT) is primarily driven by two factors: biophysical DNA damage in cancer cells and radiation-induced anti-tumor immunity. However, Anti-tumor immune responses between X-ray RT (XRT) and carbon-ion RT (CIRT) remain unclear. In this study, we, employed mouse models to assess the immunological contribution, especially cytotoxic T-lymphocyte (CTL)-mediated immunity, to the therapeutic effectiveness of XRT and CIRT in shrinking tumors. We irradiated mouse intradermal tumors of B16F10ovalbumin (OVA) mouse melanoma cells and 3LL-OVA mouse lung cancer cells with carbon-ion beams or Xrays in the presence or absence of CTLs. CTL removal was performed by administration of anti-CD8 monoclonal antibody (mAb) in mice. Based on tumor growth delay, we determined the tumor growth and regression curves. The enhancement ratio (ER) of the slope of regression lines in the presence of CTLs, relative to the absence of CTLs, indicates the dependency of RT on CTLs for shrinking mouse tumors, and the biological effectiveness (RBE) of CIRT relative to XRT were calculated. Tumor growth curves revealed that the elimination of CD8+ CTLs by administrating anti-CD8 mAb accelerated tumor growth compared to the presence of CTLs in both RTs. The ERs were larger in CIRT compared to XRT in the B16F10-OVA tumor models, but not in the 3LL-OVA models, suggesting a greater contribution of CTL-mediated anti-tumor immunity to tumor reduction in CIRT compared to XRT in the B16F10-OVA tumor model. In addition, the RBE values for both models were larger in the presence of CTLs compared to models without CTLs, suggesting that CIRT may utilize CTL-mediated anti-tumor immunity more than X-ray. The findings from this study suggest that although immunological contribution to therapeutic efficacy may vary depending on the type of tumor cell, CIRT utilizes CTL-mediated immunity to a greater extent compared to XRT.",0,The study focuses on comparing tumor shrinkage mechanisms between CIRT and XRT through immune responses but does not involve AI methods or applications.,"Okay, so I need to determine whether this article should be included in a literature review about the applications of AI methods in carbon ion therapy. The abstract provided is about a study comparing the effectiveness of carbon-ion radiotherapy (CIRT) and X-ray therapy (XRT) in terms of their impact on tumor shrinkage through cytotoxic T lymphocyte (CTL)-mediated immunity. The study uses mouse models to assess how each type of radiation affects tumor growth when CTLs are present or absent. They found that CIRT relies more on CTL-mediated immunity than XRT, especially in certain tumor models. However, the abstract doesn't mention anything about AI methods or techniques. It's purely a biological and immunological study comparing two types of radiotherapy based on their immune system interactions. Since the topic is specifically about AI applications in carbon ion therapy, this article doesn't fit because it doesn't discuss any AI methods. Therefore, I shouldn't include this article in the literature review."
